"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL005W",4225.11389702788,2.32862686743369,0.0281241211628192,82.7982091938998,0,0
"YAL015W",1500.74648206011,2.36247587907253,0.050234019390148,47.0294017431513,0,0
"YAL010W",473.404569143935,-3.30406029301155,0.113449583688384,-29.1235999780037,1.80448228727948e-186,3.00747047879913e-185
"YAL025W",540.012636829156,2.31544630204342,0.0832811101285993,27.8027790271768,4.01480246082179e-170,5.01850307602723e-169
"YAL020W",165.649716146736,-3.54214118800701,0.203363015463459,-17.4178238847146,6.04322028218851e-68,6.04322028218851e-67
"YAL030W",56.3907850251876,-2.92823240880702,0.29963469282305,-9.77267479015286,1.47505381079245e-22,1.22921150899371e-21
"YAL019W",334.529795035206,0.177830675426305,0.0961050486079898,1.85037808108991,0.0642590759130869,0.458993399379192
"YAL012W",670.452890854179,-0.089063098321452,0.064178139213898,-1.38774821788795,0.165213727761922,0.874595866095965
"YAL040W",34.9328348785019,-0.342189592886583,0.246218664685585,-1.38977925708252,0.164595918787219,0.874595866095965
"YAL049W",13.5809798515182,-0.602572096296218,0.444189318604467,-1.35656593046711,0.174919173219193,0.874595866095965
"YAL024W",202.932883513361,0.148783475554846,0.116443630677555,1.27772961637415,0.201344778829986,0.915203540136301
"YAL041W",31.2348878042031,-0.3252784756065,0.269769898356137,-1.2057626799306,0.227909009144507,0.949620871435447
"YAL001W",2200.42088073064,0.024738603667363,0.0357479111022833,0.692029349535417,0.48891889782124,0.996606800722727
"YAL002W",1954.34376104301,-0.00740342427867336,0.03675865713141,-0.201406276954203,0.840380907478799,0.996606800722727
"YAL003W",1739.98497640744,0.0208311090736448,0.0399300972669821,0.521689414738037,0.601886595940864,0.996606800722727
"YAL004W",1560.51149259662,0.00753235814327202,0.0420049484068733,0.179320733126755,0.857685868025665,0.996606800722727
"YAL006W",1289.59141690497,-0.00619217457931841,0.0458710203468916,-0.134990992842347,0.892618995816523,0.996606800722727
"YAL007W",1146.26312578233,0.00855311496776041,0.0493508789241647,0.173312312854724,0.862405945888619,0.996606800722727
"YAL008W",1039.48157919337,0.025915623836024,0.0519731323991185,0.498635018513211,0.618036530513901,0.996606800722727
"YAL009W",934.215258052572,0.0267433062523328,0.054697580097516,0.488930336674023,0.624891017323245,0.996606800722727
"YAL011W",749.865000041729,-0.00283230832500723,0.0611835198818375,-0.0462920134454051,0.963077504834127,0.996606800722727
"YAL013W",613.907771565155,0.0165147742030515,0.0676775409377179,0.24402148739786,0.807214178333873,0.996606800722727
"YAL014W",548.295754416562,0.0210531477905872,0.0725669611081885,0.290120289854766,0.771724213963254,0.996606800722727
"YAL016W",461.230649221211,-0.0131930266641003,0.0785766448379448,-0.167900101758091,0.866661870073729,0.996606800722727
